"vCenter";"HostName";"ESXi_Version";"HostSockets";"HostCoresPerSocket";"HostMemoryGB";"HostPowerPolicy";"VMName";"VMNumSockets";"VMCoresPerSocket";"vCPUs";"VMMemoryGB";"VMCPUsOptimized";"OptimalSockets";"OptimalCores"
"vcenter.kazpost.kz";"172.30.73.101";"6.5.0";"2";"22";"512";"Balanced";"Win 2008 - XenApp6.5 - 36";"2";"2";"4";"8";"NO";"1";"4"
"vcenter.kazpost.kz";"172.30.73.109";"6.5.0";"2";"22";"512";"Balanced";"Win 2008 - XenApp6.5 - 68";"2";"2";"4";"8";"NO";"1";"4"
"vcenter.kazpost.kz";"172.30.73.9";"6.5.0";"2";"22";"512";"Balanced";"Win 2008 - XenApp6.5 - 215";"2";"2";"4";"8";"NO";"1";"4"
"vcenter.kazpost.kz";"172.30.73.144";"6.5.0";"2";"22";"512";"Balanced";"Cisco ACS1";"2";"1";"2";"4";"NO";"1";"2"
"vcenter.kazpost.kz";"172.30.73.109";"6.5.0";"2";"22";"512";"Balanced";"Win 2008 - XenApp678-019";"2";"2";"4";"8";"NO";"1";"4"
"vcenter.kazpost.kz";"172.30.73.202";"6.5.0";"2";"22";"512";"HighPerformance";"Win 2008 - XenApp678-020";"2";"2";"4";"8";"NO";"1";"4"
"vcenter.kazpost.kz";"172.30.73.109";"6.5.0";"2";"22";"512";"Balanced";"Win 2008 - XenApp678-021";"2";"2";"4";"8";"NO";"1";"4"
"vcenter.kazpost.kz";"172.30.73.144";"6.5.0";"2";"22";"512";"Balanced";"Win 2008 - XenApp678-022";"2";"2";"4";"8";"NO";"1";"4"
"vcenter.kazpost.kz";"172.30.73.88";"6.5.0";"2";"22";"512";"Balanced";"Win 2008 - XenApp678-023";"2";"2";"4";"8";"NO";"1";"4"
"vcenter.kazpost.kz";"172.30.73.6";"6.5.0";"2";"22";"512";"Balanced";"Win 2008 - RootCA";"1";"1";"1";"4";"YES";"1";"1"
"vcenter.kazpost.kz";"172.30.73.127";"6.5.0";"2";"22";"512";"Balanced";"Win 2012 - AxelotAPP";"1";"2";"2";"8";"YES";"1";"2"
"vcenter.kazpost.kz";"172.30.73.109";"6.5.0";"2";"22";"512";"Balanced";"Win 2012 - PrintAP";"2";"1";"2";"8";"NO";"1";"2"
"vcenter.kazpost.kz";"172.30.73.109";"6.5.0";"2";"22";"512";"Balanced";"Win 2008 - WFDC01";"2";"2";"4";"4";"NO";"1";"4"
"vcenter.kazpost.kz";"172.30.73.8";"6.5.0";"2";"22";"512";"Balanced";"Win 2008 - PostamatTerm";"1";"2";"2";"8";"YES";"1";"2"
"vcenter.kazpost.kz";"esxi49.kazpost.kz";"6.5.0";"2";"8";"256";"Balanced";"CentOS - FTP_Ext";"1";"1";"1";"2";"YES";"1";"1"
"vcenter.kazpost.kz";"172.30.73.109";"6.5.0";"2";"22";"512";"Balanced";"FreeBSD - Stunnel";"2";"1";"2";"4";"NO";"1";"2"
"vcenter.kazpost.kz";"172.30.73.109";"6.5.0";"2";"22";"512";"Balanced";"Ubuntu 16 - Zabbix_clone";"2";"2";"4";"4";"NO";"1";"4"
"vcenter.kazpost.kz";"172.30.73.101";"6.5.0";"2";"22";"512";"Balanced";"Win 2008 - XenApp678-007";"2";"2";"4";"8";"NO";"1";"4"
"vcenter.kazpost.kz";"172.30.73.129";"6.5.0";"2";"22";"512";"Balanced";"CentOS - Asterisk";"1";"1";"1";"2";"YES";"1";"1"
"vcenter.kazpost.kz";"172.30.73.109";"6.5.0";"2";"22";"512";"Balanced";"Win 2003 - STAT";"1";"4";"4";"8";"YES";"1";"4"
"vcenter.kazpost.kz";"172.30.73.142";"6.5.0";"2";"22";"512";"Balanced";"Win 2012 - Develop";"2";"6";"12";"32";"NO";"1";"12"
"vcenter.kazpost.kz";"172.30.73.6";"6.5.0";"2";"22";"512";"Balanced";"Win 7 - BrokerARMDEP";"2";"4";"8";"4";"NO";"1";"8"
"vcenter.kazpost.kz";"172.30.73.89";"6.5.0";"2";"22";"512";"Balanced";"OREL - dbmonitor";"1";"2";"2";"8";"YES";"1";"2"
"vcenter.kazpost.kz";"172.30.73.87";"6.5.0";"2";"22";"512";"Balanced";"Ubuntu - Hadoop01";"8";"2";"16";"32";"NO";"1";"16"
"vcenter.kazpost.kz";"172.30.73.103";"6.5.0";"2";"22";"512";"Balanced";"Win 2008 - STAT";"2";"2";"4";"8";"NO";"1";"4"
"vcenter.kazpost.kz";"172.30.73.6";"6.5.0";"2";"22";"512";"Balanced";"Ubuntu - Druid";"8";"2";"16";"32";"NO";"1";"16"
"vcenter.kazpost.kz";"172.30.73.86";"6.5.0";"2";"22";"512";"Balanced";"Ubuntu - DataScience";"16";"1";"16";"32";"NO";"1";"16"
"vcenter.kazpost.kz";"172.30.73.103";"6.5.0";"2";"22";"512";"Balanced";"Win 2003 - online.kazpost.kz";"2";"3";"6";"8";"NO";"1";"6"
"vcenter.kazpost.kz";"172.30.73.101";"6.5.0";"2";"22";"512";"Balanced";"Win 2008 - XenAppWF03";"2";"2";"4";"8";"NO";"1";"4"
"vcenter.kazpost.kz";"172.30.73.6";"6.5.0";"2";"22";"512";"Balanced";"Win 2016 - KRV";"2";"4";"8";"12";"NO";"1";"8"
"vcenter.kazpost.kz";"172.30.73.6";"6.5.0";"2";"22";"512";"Balanced";"SuSe-sap-hrp";"2";"4";"8";"8";"NO";"1";"8"
"vcenter.kazpost.kz";"172.30.73.129";"6.5.0";"2";"22";"512";"Balanced";"Win 2008 - Kazakhtelecom";"2";"1";"2";"4";"NO";"1";"2"
"vcenter.kazpost.kz";"172.30.73.86";"6.5.0";"2";"22";"512";"Balanced";"Win 2008 - E-gov";"1";"2";"2";"4";"YES";"1";"2"
"vcenter.kazpost.kz";"172.30.73.127";"6.5.0";"2";"22";"512";"Balanced";"Win XP - Term42";"2";"1";"2";"3";"NO";"1";"2"
"vcenter.kazpost.kz";"172.30.73.9";"6.5.0";"2";"22";"512";"Balanced";"Win 2008 - publicftp";"2";"1";"2";"6";"NO";"1";"2"
"vcenter.kazpost.kz";"172.30.73.89";"6.5.0";"2";"22";"512";"Balanced";"Win 2016 - Pochtamat";"2";"6";"12";"16";"NO";"1";"12"
"vcenter.kazpost.kz";"esxakt.kazpost.kz";"6.5.0";"2";"10";"64";"Balanced";"Win 2012 - DCAKT02";"8";"1";"8";"12";"NO";"1";"8"
"vcenter.kazpost.kz";"esxakt.kazpost.kz";"6.5.0";"2";"10";"64";"Balanced";"Win 2012 - DCAKT01";"8";"1";"8";"12";"NO";"1";"8"
"vcenter.kazpost.kz";"esxakt.kazpost.kz";"6.5.0";"2";"10";"64";"Balanced";"Win 2008 - MAILAKT";"4";"2";"8";"12";"NO";"1";"8"
"vcenter.kazpost.kz";"esxakt.kazpost.kz";"6.5.0";"2";"10";"64";"Balanced";"Win 2008 - AKTSRV";"2";"2";"4";"8";"NO";"1";"4"
"vcenter.kazpost.kz";"esxakt.kazpost.kz";"6.5.0";"2";"10";"64";"Balanced";"Win 2012 - SCCMAKT";"1";"2";"2";"8";"YES";"1";"2"
"vcenter.kazpost.kz";"esxakt.kazpost.kz";"6.5.0";"2";"10";"64";"Balanced";"CentOS 7 Zabbix Proxy AKT";"2";"1";"2";"4";"NO";"1";"2"
"vcenter.kazpost.kz";"172.30.73.109";"6.5.0";"2";"22";"512";"Balanced";"Win 2016 - KUC_VIDEO";"2";"1";"2";"8";"NO";"1";"2"
"vcenter.kazpost.kz";"172.30.73.142";"6.5.0";"2";"22";"512";"Balanced";"Win 2008 - Ib DB2";"2";"1";"2";"20";"NO";"1";"2"
"vcenter.kazpost.kz";"172.30.73.10";"6.5.0";"2";"22";"512";"Balanced";"Win 2012 - Contacts";"2";"2";"4";"16";"NO";"1";"4"
"vcenter.kazpost.kz";"esxatb.kazpost.kz";"6.5.0";"2";"10";"64";"Balanced";"Win 2008 - ATBSRV";"2";"2";"4";"8";"NO";"1";"4"
"vcenter.kazpost.kz";"esxatb.kazpost.kz";"6.5.0";"2";"10";"64";"Balanced";"Win 2008 - SCCMATB";"1";"2";"2";"8";"YES";"1";"2"
"vcenter.kazpost.kz";"esxatb.kazpost.kz";"6.5.0";"2";"10";"64";"Balanced";"CentOS 7 Zabbix Proxy ATB";"2";"1";"2";"4";"NO";"1";"2"
"vcenter.kazpost.kz";"172.30.73.103";"6.5.0";"2";"22";"512";"Balanced";"CentOS 7 - Develop";"2";"2";"4";"8";"NO";"1";"4"
"vcenter.kazpost.kz";"172.30.73.116";"6.5.0";"2";"22";"512";"Balanced";"Win 2008 - AIS";"2";"1";"2";"4";"NO";"1";"2"
"vcenter.kazpost.kz";"172.30.73.101";"6.5.0";"2";"22";"512";"Balanced";"MCAffe - WEBGW2";"4";"1";"4";"16";"NO";"1";"4"
"vcenter.kazpost.kz";"172.30.73.127";"6.5.0";"2";"22";"512";"Balanced";"Win 2008 - XenApp6.5 - 184";"2";"2";"4";"8";"NO";"1";"4"
"vcenter.kazpost.kz";"172.30.73.109";"6.5.0";"2";"22";"512";"Balanced";"Win 2008 - XenApp6.5 - 185";"2";"2";"4";"8";"NO";"1";"4"
"vcenter.kazpost.kz";"172.30.73.116";"6.5.0";"2";"22";"512";"Balanced";"Win 2008 - XenApp6.5 - 186";"2";"2";"4";"8";"NO";"1";"4"
"vcenter.kazpost.kz";"172.30.73.109";"6.5.0";"2";"22";"512";"Balanced";"Win 2008 - XenApp6.5 - 187";"2";"2";"4";"8";"NO";"1";"4"
"vcenter.kazpost.kz";"172.30.73.127";"6.5.0";"2";"22";"512";"Balanced";"Win 2008 - XenApp6.5 - 188";"2";"2";"4";"8";"NO";"1";"4"
"vcenter.kazpost.kz";"esxatr.kazpost.kz";"6.5.0";"2";"10";"64";"Balanced";"Win 2008 - ATRSRV";"4";"1";"4";"8";"NO";"1";"4"
"vcenter.kazpost.kz";"esxatr.kazpost.kz";"6.5.0";"2";"10";"64";"Balanced";"Win 2008 - SCCMATR";"1";"2";"2";"8";"YES";"1";"2"
"vcenter.kazpost.kz";"esxatr.kazpost.kz";"6.5.0";"2";"10";"64";"Balanced";"CentOS 7 Zabbix Proxy ATR";"2";"1";"2";"4";"NO";"1";"2"
"vcenter.kazpost.kz";"172.30.73.129";"6.5.0";"2";"22";"512";"Balanced";"Win 2008 - Hybrid2 Cloned";"1";"1";"1";"2";"YES";"1";"1"
"vcenter.kazpost.kz";"172.30.73.127";"6.5.0";"2";"22";"512";"Balanced";"CentOS 7 - PROXY_30.12";"1";"2";"2";"2";"YES";"1";"2"
"vcenter.kazpost.kz";"172.30.73.127";"6.5.0";"2";"22";"512";"Balanced";"Win 2008 - XenApp6.5 - 179";"2";"2";"4";"8";"NO";"1";"4"
"vcenter.kazpost.kz";"172.30.73.103";"6.5.0";"2";"22";"512";"Balanced";"Win 2008 - XenApp6.5 - 180";"2";"2";"4";"8";"NO";"1";"4"
"vcenter.kazpost.kz";"172.30.73.116";"6.5.0";"2";"22";"512";"Balanced";"Win 2008 - XenApp6.5 - 181";"2";"2";"4";"8";"NO";"1";"4"
"vcenter.kazpost.kz";"172.30.73.129";"6.5.0";"2";"22";"512";"Balanced";"Win 2008 - XenApp6.5 - 175";"2";"2";"4";"8";"NO";"1";"4"
